STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10
USW00014732,"LAGUARDIA AIRPORT, NY US",5/12/2019,18.12,,1.22,,0,0,53,59,44,60,70,28,35.1,1,,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/13/2019,12.3,,0.59,,0,0,46,50,42,60,60,25.9,29.1,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/14/2019,8.05,,0.2,,0,0,47,52,44,330,330,16.1,19.9,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/15/2019,10.07,,0.02,,0,0,54,69,47,320,310,19.9,27.1,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/16/2019,7.38,,0.09,,0,0,63,73,55,320,320,17,23,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/17/2019,10.07,,0.03,,0,0,69,78,63,300,240,17,23,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/18/2019,8.95,,0,,0,0,67,75,59,330,320,19.9,28,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/19/2019,10.74,,0.03,,0,0,66,76,60,180,190,25.1,32,,,1,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/20/2019,14.76,,0,,0,0,76,89,65,320,310,28,36,,,1,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/21/2019,18.34,,0,,0,0,68,71,57,320,320,29.1,38,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/22/2019,10.51,,0,,0,0,65,76,57,350,350,18.1,23.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/23/2019,9.17,,0.48,,0,0,67,75,58,240,230,19.9,27.1,,,1,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/24/2019,17.67,,0,,0,0,70,74,63,300,320,31.1,36.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/25/2019,12.3,,0,,0,0,64,70,57,170,180,23,30,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/26/2019,8.5,,0.25,,0,0,72,89,62,350,10,23.9,40,,,1,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/27/2019,8.05,,0,,0,0,74,81,66,360,20,16.1,21,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/28/2019,9.17,,0.19,,0,0,68,71,62,180,180,21,27.1,1,,1,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/29/2019,8.5,,0.83,,0,0,63,68,56,50,60,18.1,23,1,,1,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/30/2019,6.04,,0.8,,0,0,60,68,56,160,100,14.1,17,1,,1,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/31/2019,7.38,,0,,0,0,70,81,61,260,300,15,19,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/1/2019,7.61,,0,,0,0,71,80,63,170,60,14.1,21,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/2/2019,8.5,,0.39,,0,0,71,83,63,310,310,28,33.1,1,,1,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/3/2019,12.75,,0,,0,0,67,72,60,310,290,25.1,32,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/4/2019,9.4,,0,,0,0,64,73,57,160,310,14.1,30,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/5/2019,10.51,,0,,0,0,72,82,66,210,190,19.9,27.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/6/2019,8.95,,0.05,,0,0,76,83,71,310,220,19.9,27.1,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/7/2019,7.83,,0,,0,0,72,81,63,50,60,13,21,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/8/2019,9.4,,0,,0,0,71,80,63,150,40,18.1,21.9,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/9/2019,11.41,,0,,0,0,68,78,61,40,130,18.1,21.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/10/2019,12.08,,0.78,,0,0,63,70,59,40,60,21,25.1,1,1,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/11/2019,14.32,,0.37,,0,0,69,77,64,310,320,28,34,1,,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/12/2019,10.51,,0,,0,0,68,74,62,160,170,19.9,25.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",6/13/2019,11.63,,0.65,,0,0,63,65,57,60,50,30,36.9,1,,,,,,,,,
