STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/17/2019,5.14,,0,0,0,67,80,54,170,160,12.1,18.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/18/2019,10.96,,0.09,0,0,70,80,61,180,180,23.9,30,1,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/19/2019,12.97,,3.37,0,0,66,71,46,270,270,25.9,40,1,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/20/2019,7.83,,0.08,0,0,47,52,43,260,270,21.9,32,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/21/2019,9.84,,0,0,0,56,72,44,340,300,21.9,29.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/22/2019,4.03,,0,0,0,65,82,49,300,350,13,18.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/23/2019,5.82,,0,0,0,70,82,57,230,220,16.1,19.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/24/2019,8.72,,0,0,0,73,82,63,190,230,17,21.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/25/2019,7.83,,0.09,0,0,69,74,61,280,200,18.1,27.1,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/26/2019,13.87,,0.02,0,0,65,74,59,320,330,28,38,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/27/2019,7.83,,0,0,0,64,78,49,240,220,15,19.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/28/2019,6.71,,0,0,0,69,82,58,270,280,18.1,23.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/29/2019,5.59,,0,0,0,74,85,63,190,180,17,21,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/30/2019,4.92,,0,0,0,75,85,64,160,170,13,18.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/1/2019,6.71,,0,0,0,74,84,66,150,170,14.1,19.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/2/2019,6.71,,0,0,0,74,83,65,140,160,14.1,18.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/3/2019,4.25,,0,0,0,75,84,66,180,240,13,17,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/4/2019,6.93,,0.15,0,0,76,83,68,210,230,21,29.1,1,,1,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/5/2019,11.41,,0.05,0,0,71,79,63,320,250,18.1,27.1,1,,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/6/2019,6.71,,0,0,0,69,82,58,320,300,14.1,18.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/7/2019,5.14,,0,0,0,74,84,63,90,140,13,17,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/8/2019,7.38,,0.03,0,0,74,86,65,150,150,17,25.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/9/2019,8.5,,0.58,0,0,73,80,66,310,290,25.9,33.1,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/10/2019,5.14,,0.86,0,0,71,84,65,280,280,21.9,25.1,1,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/11/2019,8.72,,0.09,0,0,74,82,68,210,220,18.1,25.9,1,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/12/2019,7.83,,0.52,0,0,69,75,66,230,230,15,21,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/13/2019,10.51,,0,0,0,68,74,59,310,330,21.9,25.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/14/2019,8.28,,0,0,0,62,73,51,330,330,17,21.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/15/2019,5.37,,0,0,0,64,77,52,300,310,14.1,17,,,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/16/2019,4.7,,0,0,0,73,86,63,290,290,14.1,17,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/17/2019,5.82,,0,0,0,76,88,66,240,250,17,23.9,,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/18/2019,3.58,,0,0,0,76,87,66,180,220,14.1,17,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/19/2019,6.04,,0,0,0,78,87,68,210,170,16.1,23,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/20/2019,6.71,,0,0,0,78,87,71,300,300,16.1,21.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",5/21/2019,4.25,,0,0,0,79,89,68,220,230,14.1,17,,,,,,,,1,
