STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10
USW00014739,"BOSTON, MA US",4/19/2019,22.82,,0.02,,0,,67,77,63,,220,220,,36.9,46.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/20/2019,17.9,,0.17,,0,,68,74,59,,200,200,,36.9,48.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/21/2019,8.5,,0.03,,0,,61,70,55,,180,170,,19.9,23.9,1,1,,,,,,,
USW00014739,"BOSTON, MA US",4/22/2019,11.63,,2.3,,0,,55,58,49,,30,20,,25.1,32,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/23/2019,11.63,,0.21,,0,,51,56,47,,10,20,,21.9,27.1,1,,,,,,1,,
USW00014739,"BOSTON, MA US",4/24/2019,9.62,,0.04,,0,,55,68,47,,300,290,,19.9,25.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/25/2019,10.51,,0,,0,,51,55,47,,110,110,,19.9,23,,,,,,,,,
USW00014739,"BOSTON, MA US",4/26/2019,14.99,,0.74,,0,,49,49,46,,80,80,,25.1,31.1,1,,1,,,,,,
USW00014739,"BOSTON, MA US",4/27/2019,17.9,,0.66,,0,,50,57,45,,270,270,,33.1,42.1,1,1,1,,,,,,
USW00014739,"BOSTON, MA US",4/28/2019,10.51,,0.01,,0,,49,56,45,,270,260,,21,27.1,,,,,,,,,
USW00014739,"BOSTON, MA US",4/29/2019,9.4,,0,,0,,52,63,43,,270,310,,17,25.1,,,,,,,,,
USW00014739,"BOSTON, MA US",4/30/2019,7.61,,0.14,,0,,49,54,44,,320,320,,18.1,23.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",5/1/2019,6.26,,0,,0,,51,56,47,,180,180,,17,19.9,,,,,,,,,
USW00014739,"BOSTON, MA US",5/2/2019,9.62,,0.06,,0,,48,50,45,,70,60,,16.1,19,1,,,,,,,,
USW00014739,"BOSTON, MA US",5/3/2019,6.71,,0.11,,0,,48,57,45,,90,90,,16.1,19,1,,,,,,,,
USW00014739,"BOSTON, MA US",5/4/2019,5.82,,0.14,,0,,52,55,48,,140,130,,10.1,12.1,1,1,,,,,,,
USW00014739,"BOSTON, MA US",5/5/2019,6.49,,0.01,,0,,50,51,49,,80,60,,12.1,15,,,,,,,,,
USW00014739,"BOSTON, MA US",5/6/2019,10.96,,0,,0,,52,60,47,,80,90,,18.1,21,,,,,,,,,
USW00014739,"BOSTON, MA US",5/7/2019,10.96,,0.08,,0,,58,76,45,,350,340,,23.9,32,,,,,,,,,
USW00014739,"BOSTON, MA US",5/8/2019,9.17,,0,,0,,58,61,50,,100,120,,16.1,19.9,,,,,,,,,
USW00014739,"BOSTON, MA US",5/9/2019,10.74,,0,,0,,52,55,47,,110,100,,21,23,,,,,,,,,
USW00014739,"BOSTON, MA US",5/10/2019,11.63,,0.01,,0,,55,66,51,,200,180,,21,27.1,,,,,,,,,
USW00014739,"BOSTON, MA US",5/11/2019,10.96,,0,,0,,64,70,54,,300,320,,19.9,25.1,,,,,,,,,
USW00014739,"BOSTON, MA US",5/12/2019,6.49,,0.39,,0,,51,55,43,,80,80,,18.1,21,1,,,,,,,,
USW00014739,"BOSTON, MA US",5/13/2019,15.88,,0.82,,0,,49,55,44,,70,60,,25.9,31.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",5/14/2019,11.63,,0.15,,0,,45,48,43,,50,40,,21,25.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",5/15/2019,9.17,,0.01,,0,,51,62,45,,300,330,,18.1,23.9,,,,,,,,,
USW00014739,"BOSTON, MA US",5/16/2019,6.49,,0,,0,,57,65,50,,90,90,,18.1,21,,,,,,,,,
USW00014739,"BOSTON, MA US",5/17/2019,5.37,,0.24,,0,,55,65,50,,260,280,,16.1,25.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",5/18/2019,11.41,,0,,0,,62,70,53,,100,110,,21.9,25.9,,,,,,,,,
USW00014739,"BOSTON, MA US",5/19/2019,14.54,,0.22,,0,,60,73,53,,210,210,,29.1,36.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",5/20/2019,14.32,,0.13,,0,,73,88,66,,220,230,,25.9,32,1,,1,,,,,,
USW00014739,"BOSTON, MA US",5/21/2019,18.57,,0,,0,,67,72,58,,320,260,,30,44.1,,,,,,,,,
USW00014739,"BOSTON, MA US",5/22/2019,13.87,,0,,0,,61,69,54,,110,330,,21,27.1,,,,,,,,,
USW00014739,"BOSTON, MA US",5/23/2019,14.99,,0.12,,0,,61,72,53,,210,210,,25.1,35.1,1,,1,,,,,,
USW00014739,"BOSTON, MA US",5/24/2019,15.43,,0,,0,,65,73,53,,310,330,,31.1,44.1,,,,,,,,,
USW00014739,"BOSTON, MA US",5/25/2019,12.3,,0.03,,0,,61,71,52,,230,210,,23.9,34,,,1,,,,,,
USW00014739,"BOSTON, MA US",5/26/2019,11.86,,0.23,,0,,71,89,53,,270,280,,23,30,,,1,,,,,,
USW00014739,"BOSTON, MA US",5/27/2019,9.62,,0,,0,,69,76,57,,80,90,,18.1,21.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",5/28/2019,12.3,,0.3,,0,,58,64,52,,110,110,,23,29.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",5/29/2019,9.17,,0,,0,,52,55,50,,10,10,,21,25.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",5/30/2019,7.61,,0.23,,0,,56,66,52,,200,160,,16.1,19.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",5/31/2019,9.17,,0.07,,0,,63,75,57,,70,70,,21,25.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",6/1/2019,8.28,,0,,0,,60,66,54,,100,80,,17,21,1,1,,,,,1,,
USW00014739,"BOSTON, MA US",6/2/2019,8.28,,0.04,,0,,56,63,53,,360,360,,23,28,1,1,,,,,1,,
USW00014739,"BOSTON, MA US",6/3/2019,15.43,,0.04,,0,,64,74,57,,280,270,,28,36,1,,,,,,,,
USW00014739,"BOSTON, MA US",6/4/2019,9.62,,0,,0,,63,72,54,,290,290,,18.1,25.1,,,,,,,,,
USW00014739,"BOSTON, MA US",6/5/2019,12.3,,0.05,,0,,71,84,61,,230,240,,21.9,28,1,,1,,,,,,
USW00014739,"BOSTON, MA US",6/6/2019,9.84,,0.01,,0,,70,78,64,,90,340,,18.1,21.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",6/7/2019,8.5,,0,,0,,68,73,64,,200,200,,18.1,23,,,,,,,,,
USW00014739,"BOSTON, MA US",6/8/2019,10.07,,0,,0,,68,73,63,,80,30,,17,21.9,,,,,,,,,
USW00014739,"BOSTON, MA US",6/9/2019,9.84,,0,,0,,67,80,56,,220,240,,19.9,27.1,,,,,,,,,
USW00014739,"BOSTON, MA US",6/10/2019,10.29,,0.14,,0,,66,74,58,,110,120,,18.1,21,1,,,,,,,,
USW00014739,"BOSTON, MA US",6/11/2019,11.86,,0.53,,0,,70,79,63,,330,330,,23,32,1,,,,,,,,
USW00014739,"BOSTON, MA US",6/12/2019,11.63,,0,,0,,68,75,60,,110,200,,19.9,23,,,,,,,,,
USW00014739,"BOSTON, MA US",6/13/2019,11.41,,0.63,,0,,59,62,53,,90,80,,25.1,30,1,,,,,,,,
USW00014739,"BOSTON, MA US",6/14/2019,14.32,,0,,0,,63,77,54,,250,250,,29.1,38.9,,,,,,,,,
USW00014739,"BOSTON, MA US",6/15/2019,15.21,,0,,0,,72,84,62,,220,220,,29.1,35.1,,,,,,,,,
USW00014739,"BOSTON, MA US",6/16/2019,7.61,,0.11,,0,,69,72,63,,250,240,,21.9,27.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",6/17/2019,8.5,,0,,0,,69,75,66,,320,100,,15,18.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",6/18/2019,5.59,,0.1,,0,,67,70,61,,80,90,,12.1,13,1,,,,,,1,,
USW00014739,"BOSTON, MA US",6/19/2019,7.61,,0,,0,,64,71,60,,110,110,,18.1,21,1,,,,,,1,,
USW00014739,"BOSTON, MA US",6/20/2019,6.71,,0.37,,0,,66,73,61,,190,200,,14.1,19,1,1,,,,,,,
USW00014739,"BOSTON, MA US",6/21/2019,10.29,,1.19,,0,,68,76,61,,330,320,,25.1,31.1,1,1,,,,,1,,
USW00014739,"BOSTON, MA US",6/22/2019,12.3,,0,,0,,72,83,64,,330,310,,23.9,32,,,,,,,,,
USW00014739,"BOSTON, MA US",6/23/2019,12.97,,0,,0,,74,87,66,,300,320,,19.9,27.1,,,,,,,,,
USW00014739,"BOSTON, MA US",6/24/2019,10.29,,0,,0,,75,80,63,,110,100,,18.1,25.1,,,,,,,,,
USW00014739,"BOSTON, MA US",6/25/2019,6.93,,0.13,,0,,67,73,63,,180,180,,18.1,23,1,,,,,,,,
USW00014739,"BOSTON, MA US",6/26/2019,6.71,,0,,0,,69,75,62,,90,90,,15,18.1,1,1,,,,,1,,
USW00014739,"BOSTON, MA US",6/27/2019,6.71,,0,,0,,65,71,61,,80,80,,14.1,17,1,,,,,,1,,
USW00014739,"BOSTON, MA US",6/28/2019,6.93,,0,,0,,71,85,63,,110,240,,14.1,18.1,1,,,,,,,,
