"TAIL_NUMBER","NUMBER_OF_SEATS","MANUFACTURER","MODEL",
"N469AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N469UA",142,"AirbusIndustries","AirbusA320-232",
"N469UP",0,"Boeing","757-24APF",
"N469WN",143,"THEBOEINGCO","B-737-7H4",
"N470UA",142,"AirbusIndustries","AirbusA320-232",
"N470UP",0,"Boeing","757-24APF",
"N470WN",143,"THEBOEINGCO","B-737-7H4",
"N471AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N471CA",50,"Bombardier","CRJ200-2B19",
"N471MC",0,"BOEING","B747-400",
"N471UA",142,"AirbusIndustries","AirbusA320-232",
"N471UP",0,"Boeing","757-24APF",
"N472AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N472CA",50,"Bombardier","CRJ200-2B19",
"N472MC",0,"BOEING","B747-400",
"N472UA",142,"AirbusIndustries","AirbusA320-232",
"N472UP",0,"Boeing","757-24APF",
"N472WN",143,"THEBOEINGCO","B-737-7H4",
"N473MC",0,"BOEING","B747-400",
"N473UA",142,"AirbusIndustries","AirbusA320-232",
"N473UP",0,"Boeing","757-24APF",
"N473WN",143,"THEBOEINGCO","B-737-7H4",
"N47414",173,"BoeingCo","B737-900ERPAX",
"N474AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N474UA",142,"AirbusIndustries","AirbusA320-232",
"N474UP",0,"Boeing","757-24APF",
"N474WN",143,"THEBOEINGCO","B-737-7H4",
"N47505",179,"BoeingCo","B737-Max9PAX",
"N47512",179,"BoeingCo","B737-Max9PAX",
"N475HA",123,"Boeing","B7170200",
"N475MC",0,"BOEING","B747-400",
"N475UA",142,"AirbusIndustries","AirbusA320-232",
"N475UP",0,"Boeing","757-24APF",
"N475WN",143,"THEBOEINGCO","B-737-7H4",
"N476HA",123,"Boeing","B7170200",
"N476MC",0,"BOEING","B747-400",
"N476UA",142,"AirbusIndustries","AirbusA320-232",
"N476WN",143,"THEBOEINGCO","B-737-7H4",
"N477AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N477AX",245,"Boeing","BoeingB767-3Q8ERPAX",
"N477CA",50,"Bombardier","CRJ200-2B19",
"N477HA",123,"Boeing","B7170200",
"N477JB",14,"Gulfstream","GIVSP",
"N477MC",0,"BOEING","B747-400",
"N477UA",142,"AirbusIndustries","AirbusA320-232",
"N477WN",143,"THEBOEINGCO","B-737-7H4",
"N478AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N478HA",123,"Boeing","B7170200",
"N478PX",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N478UA",142,"AirbusIndustries","AirbusA320-232",
"N478WN",143,"THEBOEINGCO","B-737-7H4",
"N479AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N479CA",50,"Bombardier","CRJ200-2B19",
"N479HA",123,"Boeing","B7170200",
"N479PX",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N479UA",142,"AirbusIndustries","AirbusA320-232",
"N479WN",143,"THEBOEINGCO","B-737-7H4",
"N480HA",123,"Boeing","B7170200",
"N480MC",0,"BOEING","B747-400",
"N480UA",142,"AirbusIndustries","AirbusA320-232",
"N480WN",143,"THEBOEINGCO","B-737-7H4",
"N48127",169,"BoeingCo","B757-200PAX",
"N481AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N481HA",123,"Boeing","B7170200",
"N481UA",142,"AirbusIndustries","AirbusA320-232",
"N481WN",143,"THEBOEINGCO","B-737-7H4",
"N482UA",142,"AirbusIndustries","AirbusA320-232",
"N482WN",143,"THEBOEINGCO","B-737-7H4",
"N483AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N483HA",123,"Boeing","B7170200",
"N483UA",142,"AirbusIndustries","AirbusA320-232",
"N483WN",143,"THEBOEINGCO","B-737-7H4",
