"TAIL_NUMBER","NUMBER_OF_SEATS","MANUFACTURER","MODEL",
"N827SK",70,"Bombardier","CRJ900-2D24",
"N827SY",183,"Boeing","B737-800",
"N827UA",120,"AirbusIndustries","AirbusA319-131",
"N828AA",285,"Boeing","B787-9",
"N828AE",44,"Embraer","EMB-140",
"N828AW",128,"Airbus","A319-132",
"N828AX",381,"Boeing","BoeingB777-222ERPAX",
"N828DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N828FE",0,"CESSNA","C-208B",
"N828JB",150,"AirbusIndustrie","A320-232",
"N828MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N828NW",293,"AirbusIndustries","A330-302-PSGR",
"N828SY",183,"Boeing","B737-800",
"N828UA",120,"AirbusIndustries","AirbusA319-131",
"N829AE",44,"Embraer","EMB-140",
"N829AN",285,"Boeing","B787-9",
"N829AW",128,"Airbus","A319-132",
"N829DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N829MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N829NN",172,"Boeing","B737-823",
"N829NW",293,"AirbusIndustries","A330-302-PSGR",
"N829RA",13,"Bombardier","BD-700",
"N829SK",70,"Bombardier","CRJ900-2D24",
"N829SY",183,"Boeing","B737-800",
"N829UA",120,"AirbusIndustries","AirbusA319-131",
"N8301J",175,"THEBOEINGCO","B-737-8H4",
"N8302F",175,"THEBOEINGCO","B-737-8H4",
"N8303R",175,"THEBOEINGCO","B-737-8H4",
"N8305E",175,"THEBOEINGCO","B-737-8H4",
"N8306H",175,"THEBOEINGCO","B-737-8H4",
"N8307K",175,"THEBOEINGCO","B-737-8H4",
"N8308K",175,"THEBOEINGCO","B-737-8H4",
"N8309C",175,"THEBOEINGCO","B-737-8H4",
"N830AE",44,"Embraer","EMB-140",
"N830AN",285,"Boeing","B787-9",
"N830AW",128,"Airbus","A319-132",
"N830DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N830MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N830NN",172,"Boeing","B737-823",
"N830NW",293,"AirbusIndustries","A330-302-PSGR",
"N830SK",70,"Bombardier","CRJ900-2D24",
"N830SY",183,"Boeing","B737-800",
"N830UA",120,"AirbusIndustries","AirbusA319-131",
"N8310C",175,"THEBOEINGCO","B-737-8H4",
"N8311Q",175,"THEBOEINGCO","B-737-8H4",
"N8312C",175,"THEBOEINGCO","B-737-8H4",
"N8313F",175,"THEBOEINGCO","B-737-8H4",
"N8314L",175,"THEBOEINGCO","B-737-8H4",
"N8315C",175,"THEBOEINGCO","B-737-8H4",
"N8316H",175,"THEBOEINGCO","B-737-8H4",
"N8317M",175,"THEBOEINGCO","B-737-8H4",
"N8318F",175,"THEBOEINGCO","B-737-8H4",
"N8319F",175,"THEBOEINGCO","B-737-8H4",
"N831AA",285,"Boeing","B787-9",
"N831AE",44,"Embraer","EMB-140",
"N831AW",128,"Airbus","A319-132",
"N831AY",50,"BOMBARDIER","CRJ-200-PSGR",
"N831DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N831FE",0,"CESSNA","C-208B",
"N831FL",0,"BOMBARDIER","CL-600-2B19",
"N831MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N831NN",172,"Boeing","B737-823",
"N831NW",293,"AirbusIndustries","A330-302-PSGR",
"N831SK",70,"Bombardier","CRJ900-2D24",
"N831SY",183,"Boeing","B737-800",
"N831UA",120,"AirbusIndustries","AirbusA319-131",
"N831US",0,"McDonnellDouglas","MD-83",
"N8320J",175,"THEBOEINGCO","B-737-8H4",
"N8321D",175,"THEBOEINGCO","B-737-8H4",
"N8322X",175,"THEBOEINGCO","B-737-8H4",
"N8323C",175,"THEBOEINGCO","B-737-8H4",
"N8324A",175,"THEBOEINGCO","B-737-8H4",
"N8325D",175,"THEBOEINGCO","B-737-8H4",
"N8326F",175,"THEBOEINGCO","B-737-8H4",
"N8327A",175,"THEBOEINGCO","B-737-8H4",
"N8328A",175,"THEBOEINGCO","B-737-8H4",
"N8329B",175,"THEBOEINGCO","B-737-8H4",
"N832AA",285,"Boeing","B787-9",
"N832AE",44,"Embraer","EMB-140",
"N832AW",128,"Airbus","A319-132",
"N832AY",50,"BOMBARDIER","CRJ-200-PSGR",
"N832DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N832MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N832NN",172,"Boeing","B737-823",
"N832SK",76,"Bombardier","CRJ900-2D24",
"N832SY",183,"Boeing","B737-800",
"N832UA",120,"AirbusIndustries","AirbusA319-131",
"N83329",76,"Embraer","EMB-175-PSGR",
"N833AA",285,"Boeing","B787-9",
"N833AE",44,"Embraer","EMB-140",
"N833AW",128,"Airbus","A319-132",
"N833AY",50,"BOMBARDIER","CRJ-200-PSGR",
"N833DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N833MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N833NN",172,"Boeing","B737-823",
"N833SK",76,"Bombardier","CRJ900-2D24",
"N833SY",183,"Boeing","B737-800",
"N833UA",120,"AirbusIndustries","AirbusA319-131",
"N834AA",285,"Boeing","B787-9",
"N834AE",44,"Embraer","EMB-140",
"N834AW",128,"Airbus","A319-132",
"N834AY",50,"BOMBARDIER","CRJ-200-PSGR",
"N834BZ",16,"Boeing","B-737-7",
"N834DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N834JB",150,"AirbusIndustrie","A320-232",
"N834MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N834NN",172,"Boeing","B737-823",
"N834SK",76,"Bombardier","CRJ900-2D24",
"N834SY",183,"Boeing","B737-800",
"N834UA",120,"AirbusIndustries","AirbusA319-131",
"N835AE",44,"Embraer","EMB-140",
"N835AN",285,"Boeing","B787-9",
"N835AW",128,"Airbus","A319-132",
"N835AY",50,"BOMBARDIER","CRJ-200-PSGR",
"N835DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N835MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N835NN",172,"Boeing","B737-823",
"N835SY",186,"Boeing","B737-800",
"N835UA",120,"AirbusIndustries","AirbusA319-131",
"N835VA",146,"AirbusCompany","A320",
"N836AA",285,"Boeing","B787-9",
"N836AE",44,"Embraer","EMB-140",
"N836AW",128,"Airbus","A319-132",
"N836AY",50,"BOMBARDIER","CRJ-200-PSGR",
"N836DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N836MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N836NN",172,"Boeing","B737-823",
"N836SK",76,"Bombardier","CRJ900-2D24",
"N836UA",120,"AirbusIndustries","AirbusA319-131",
"N836VA",146,"AirbusCompany","A320",
"N837AE",44,"Embraer","EMB-140",
"N837AN",285,"Boeing","B787-9",
"N837AW",128,"Airbus","A319-132",
"N837DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N837MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N837NN",172,"Boeing","B737-823",
"N837SK",76,"Bombardier","CRJ900-2D24",
"N837UA",120,"AirbusIndustries","AirbusA319-131",
"N837VA",146,"AirbusCompany","A320",
"N838AA",285,"Boeing","B787-9",
"N838AE",44,"Embraer","EMB-140",
"N838AW",128,"Airbus","A319-132",
"N838DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N838MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N838NN",172,"Boeing","B737-823",
"N838SK",76,"Bombardier","CRJ900-2D24",
"N838SY",186,"Boeing","B737-800",
"N838UA",120,"AirbusIndustries","AirbusA319-131",
"N838VA",146,"AirbusCompany","A320",
"N8390A",50,"BOMBARDIER","CRJ-200-PSGR",
"N839AA",285,"Boeing","B787-9",
"N839AE",44,"Embraer","EMB-140",
"N839AW",128,"Airbus","A319-132",
"N839DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N839MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N839NN",172,"Boeing","B737-823",
"N839SK",76,"Bombardier","CRJ900-2D24",
"N839UA",120,"AirbusIndustries","AirbusA319-131",
"N839VA",146,"AirbusCompany","A320",
"N83EA",70,"Bombardier","CL600-2C10PSGR",
"N8409N",50,"BOMBARDIER","CRJ-200-PSGR",
"N840AE",44,"Embraer","EMB-140",
"N840AN",285,"Boeing","B787-9",
"N840AW",128,"Airbus","A319-132",
"N840AY",50,"BOMBARDIER","CRJ-200-PSGR",
"N840DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N840MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N840NN",172,"Boeing","B737-823",
"N840UA",120,"AirbusIndustries","AirbusA319-131",
"N840VA",146,"AirbusCompany","A320",
"N8412F",50,"BOMBARDIER","CRJ-200-PSGR",
"N8416B",50,"BOMBARDIER","CRJ-200-PSGR",
"N841AE",44,"Embraer","EMB-140",
"N841AN",285,"Boeing","B787-9",
"N841DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N841FE",0,"CESSNA","C-208B",
"N841FL",0,"BOMBARDIER","CL-600-2B19",
"N841MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N841NN",172,"Boeing","B737-823",
"N841UA",120,"AirbusIndustries","AirbusA319-131",
"N841VA",146,"AirbusCompany","A320",
"N842AE",44,"Embraer","EMB-140",
"N842DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N842FD",0,"BOEING","777FHT",
"N842MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N842NN",172,"Boeing","B737-823",
"N842UA",120,"AirbusIndustries","AirbusA319-131",
"N842VA",146,"AirbusCompany","A320",
"N84307",76,"Embraer","EMB-175-PSGR",
"N8432A",50,"BOMBARDIER","CRJ-200-PSGR",
"N843AE",44,"Embraer","EMB-140",
"N843DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N843FD",0,"BOEING","777FHT",
"N843FE",0,"CESSNA","C-208B",
"N843MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N843NN",172,"Boeing","B737-823",
"N843UA",120,"AirbusIndustries","AirbusA319-131",
"N843VA",146,"AirbusCompany","A320",
"N844AE",44,"Embraer","EMB-140",
"N844DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N844FD",0,"BOEING","777FHT",
"N844FE",0,"CESSNA","C-208B",
"N844MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N844NN",172,"Boeing","B737-823",
"N844UA",120,"AirbusIndustries","AirbusA319-131",
"N844VA",146,"AirbusCompany","A320",
"N8458A",50,"BOMBARDIER","CRJ-200-PSGR",
"N845AE",44,"Embraer","EMB-140",
"N845DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N845FE",0,"CESSNA","C-208B",
"N845MH",246,"BOEINGCOMPANY","767-432ER-PSGR",
"N845NN",172,"Boeing","B737-823",
"N845UA",120,"AirbusIndustries","AirbusA319-131",
"N845VA",146,"AirbusCompany","A320",
"N846AE",44,"Embraer","EMB-140",
"N846AX",381,"Boeing","BoeingB777-222ERPAX",
"N846DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N846FE",0,"CESSNA","C-208B",
"N846NN",172,"Boeing","B737-823",
"N846UA",120,"AirbusIndustries","AirbusA319-131",
"N846VA",146,"AirbusCompany","A320",
"N8477R",50,"BOMBARDIER","CRJ-200-PSGR",
"N847AE",44,"Embraer","EMB-140",
"N847DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N847FE",0,"CESSNA","C-208B",
"N847NN",172,"Boeing","B737-823",
"N847UA",120,"AirbusIndustries","AirbusA319-131",
"N847VA",146,"AirbusCompany","A320",
"N848AE",44,"Embraer","EMB-140",
"N848DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N848FE",0,"CESSNA","C-208B",
"N848NN",172,"Boeing","B737-823",
"N848UA",120,"AirbusIndustries","AirbusA319-131",
"N848VA",146,"AirbusCompany","A320",
"N849AE",44,"Embraer","EMB-140",
"N849DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N849FE",0,"CESSNA","C-208B",
"N849NN",172,"Boeing","B737-823",
"N849UA",120,"AirbusIndustries","AirbusA319-131",
"N849VA",146,"AirbusCompany","A320",
"N8501V",175,"THEBOEINGCO","B-737-8H4",
"N8502Z",175,"THEBOEINGCO","B-737-8H4",
"N8503A",175,"THEBOEINGCO","B-737-8H4",
"N8504G",175,"THEBOEINGCO","B-737-8H4",
"N8506C",50,"BOMBARDIER","CRJ-200-PSGR",
"N8507C",175,"THEBOEINGCO","B-737-8H4",
"N8508W",175,"THEBOEINGCO","B-737-8H4",
"N8509U",175,"THEBOEINGCO","B-737-8H4",
"N850AE",44,"Embraer","EMB-140",
"N850DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N850FD",0,"BOEING","777-FS2",
"N850FE",0,"CESSNA","C-208B",
"N850GT",0,"BOEING","B747-800",
"N850NN",172,"Boeing","B737-823",
"N850TR",13,"Bombardier","BD-700-1A10PSGR",
"N850UA",120,"AirbusIndustries","AirbusA319-131",
"N8510E",175,"THEBOEINGCO","B-737-8H4",
"N8511K",175,"THEBOEINGCO","B-737-8H4",
"N8512U",175,"THEBOEINGCO","B-737-8H4",
"N8513F",175,"THEBOEINGCO","B-737-8H4",
"N8514F",175,"THEBOEINGCO","B-737-8H4",
"N8515X",175,"THEBOEINGCO","B-737-8H4",
"N8516C",50,"BOMBARDIER","CRJ-200-PSGR",
"N8517F",175,"THEBOEINGCO","B-737-8H4",
"N8518R",175,"THEBOEINGCO","B-737-8H4",
"N8519R",175,"THEBOEINGCO","B-737-8H4",
"N851AE",44,"Embraer","EMB-140",
"N851CE",0,"Douglas","DC-6ACARGO",
"N851DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N851FD",0,"BOEING","777-FS2",
"N851FE",0,"CESSNA","C-208B",
"N851GT",0,"BOEING","B747-800",
"N851NN",172,"Boeing","B737-823",
"N851NW",234,"AirbusIndustries","A330-223-PSGR",
"N851UA",120,"AirbusIndustries","AirbusA319-131",
"N851VA",146,"AirbusCompany","A320",
"N8520Q",175,"THEBOEINGCO","B-737-8H4",
"N8522P",175,"THEBOEINGCO","B-737-8H4",
"N8523W",175,"THEBOEINGCO","B-737-8H4",
"N8524Z",175,"THEBOEINGCO","B-737-8H4",
"N8525S",175,"THEBOEINGCO","B-737-8H4",
"N8526W",175,"THEBOEINGCO","B-737-8H4",
"N8527Q",175,"THEBOEINGCO","B-737-8H4",
"N8528Q",175,"THEBOEINGCO","B-737-8H4",
"N8529Z",175,"THEBOEINGCO","B-737-8H4",
"N852AE",44,"Embraer","EMB-140",
"N852DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N852FD",0,"BOEING","777-FS2",
"N852GT",0,"BOEING","B747-800",
"N852NN",172,"Boeing","B737-823",
"N852NW",234,"AirbusIndustries","A330-223-PSGR",
"N852UA",120,"AirbusIndustries","AirbusA319-131",
"N852VA",146,"AirbusCompany","A320",
"N8530W",175,"THEBOEINGCO","B-737-8H4",
"N8531Q",175,"THEBOEINGCO","B-737-8H4",
"N85320",76,"Embraer","EMB-175-PSGR",
"N85323",76,"Embraer","EMB-175-PSGR",
"N8532S",175,"THEBOEINGCO","B-737-8H4",
"N8533S",175,"THEBOEINGCO","B-737-8H4",
"N85340",76,"Embraer","EMB-175-PSGR",
"N8534Z",175,"THEBOEINGCO","B-737-8H4",
"N85351 ",76,"Embraer","EMB-175-PSGR",
"N85352",76,"Embraer","EMB-175-PSGR",
"N85354",76,"Embraer","EMB-175-PSGR",
"N85355",76,"Embraer","EMB-175-PSGR",
"N85356",76,"Embraer","EMB-175-PSGR",
"N85358",76,"Embraer","EMB-175-PSGR",
"N8535S",175,"THEBOEINGCO","B-737-8H4",
"N8536Z",175,"THEBOEINGCO","B-737-8H4",
"N8537Z",175,"THEBOEINGCO","B-737-8H4",
"N8538V",175,"THEBOEINGCO","B-737-8H4",
"N8539V",175,"THEBOEINGCO","B-737-8H4",
"N853AE",44,"Embraer","EMB-140",
"N853DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N853FD",0,"BOEING","777-FS2",
"N853FE",0,"CESSNA","C-208B",
"N853GT",0,"BOEING","B747-800",
"N853NN",172,"Boeing","B737-823",
"N853NW",234,"AirbusIndustries","A330-223-PSGR",
"N853UA",120,"AirbusIndustries","AirbusA319-131",
"N853VA",146,"AirbusCompany","A320",
"N8540V",175,"THEBOEINGCO","B-737-8H4",
"N8541W",175,"THEBOEINGCO","B-737-8H4",
"N8542Z",175,"THEBOEINGCO","B-737-8H4",
"N8543Z",175,"THEBOEINGCO","B-737-8H4",
"N8544Z",175,"THEBOEINGCO","B-737-8H4",
"N8545V",175,"THEBOEINGCO","B-737-8H4",
"N8546V",175,"THEBOEINGCO","B-737-8H4",
"N8547V",175,"THEBOEINGCO","B-737-8H4",
"N8548P",175,"THEBOEINGCO","B-737-8H4",
"N8549Z",175,"THEBOEINGCO","B-737-8H4",
"N854AE",44,"Embraer","EMB-140",
"N854AS",50,"Bombardier","CRJ-200/440",
"N854AS",50,"Bombardier","CRJ200-2B19",
"N854DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N854FD",0,"BOEING","777-FS2",
"N854GT",0,"BOEING","B747-800",
"N854NN",172,"Boeing","B737-823",
"N854NW",234,"AirbusIndustries","A330-223-PSGR",
"N854UA",120,"AirbusIndustries","AirbusA319-131",
"N854VA",146,"AirbusCompany","A320",
"N8550Q",175,"THEBOEINGCO","B-737-8H4",
"N8551Q",175,"THEBOEINGCO","B-737-8H4",
"N8552Z",175,"THEBOEINGCO","B-737-8H4",
"N8553W",175,"THEBOEINGCO","B-737-8H4",
"N8554X",175,"THEBOEINGCO","B-737-8H4",
"N8555Z",175,"THEBOEINGCO","B-737-8H4",
"N8556Z",175,"THEBOEINGCO","B-737-8H4",
"N8557Q",175,"THEBOEINGCO","B-737-8H4",
"N8558Z",175,"THEBOEINGCO","B-737-8H4",
"N8559Q",175,"THEBOEINGCO","B-737-8H4",
"N855AE",44,"Embraer","EMB-140",
"N855AS",50,"Bombardier","CRJ200-2B19",
"N855DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N855FD",0,"BOEING","777-FS2",
"N855FE",0,"CESSNA","C-208B",
"N855NN",172,"Boeing","B737-823",
"N855NW",234,"AirbusIndustries","A330-223-PSGR",
"N855RW",70,"Embraer","ERJ-170-100SE",
"N855UA",120,"AirbusIndustries","AirbusA319-131",
"N855VA",146,"AirbusCompany","A320",
"N8560Z",175,"THEBOEINGCO","B-737-8H4",
"N8561Z",175,"THEBOEINGCO","B-737-8H4",
"N8562Z",175,"THEBOEINGCO","B-737-8H4",
"N8563Z",175,"THEBOEINGCO","B-737-8H4",
"N8564Z",175,"THEBOEINGCO","B-737-8H4",
"N8565Z",175,"THEBOEINGCO","B-737-8H4",
"N8566Z",175,"THEBOEINGCO","B-737-8H4",
"N8567Z",175,"THEBOEINGCO","B-737-8H4",
"N8568Z",175,"THEBOEINGCO","B-737-8H4",
"N8569Z",175,"THEBOEINGCO","B-737-8H4",
"N856AE",44,"Embraer","EMB-140",
"N856AS",50,"Bombardier","CRJ-200/440",
"N856AS",50,"Bombardier","CRJ200-2B19",
"N856DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N856FD",0,"BOEING","777-FS2",
"N856FE",0,"CESSNA","C-208B",
"N856GT",0,"BOEING","B747-800",
"N856GT",0,"BOEING","B747-800",
"N856NN",172,"Boeing","B737-823",
"N856NW",234,"AirbusIndustries","A330-223-PSGR",
"N856RW",70,"Embraer","ERJ-170-100SE",
"N8570W",175,"THEBOEINGCO","B-737-8H4",
"N8571Z",175,"THEBOEINGCO","B-737-8H4",
"N8572X",175,"THEBOEINGCO","B-737-8H4",
"N8573Z",175,"THEBOEINGCO","B-737-8H4",
"N8574Z",175,"THEBOEINGCO","B-737-8H4",
"N8575Z",175,"THEBOEINGCO","B-737-8H4",
"N8576Z",175,"THEBOEINGCO","B-737-8H4",
"N8577Z",175,"THEBOEINGCO","B-737-8H4",
"N8578Q",175,"THEBOEINGCO","B-737-8H4",
"N8579Z",175,"THEBOEINGCO","B-737-8H4",
"N857AE",44,"Embraer","EMB-140",
"N857AS",50,"Bombardier","CRJ200-2B19",
"N857DZ",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N857FD",0,"BOEING","777-FS2",
"N857FE",0,"CESSNA","C-208B",
"N857GT",0,"BOEING","B747-800",
"N857NN",172,"Boeing","B737-823",
"N857NW",234,"AirbusIndustries","A330-223-PSGR",
"N857RW",70,"Embraer","ERJ-170-100SE",
"N8580Z",175,"THEBOEINGCO","B-737-8H4",
"N8581Z",175,"THEBOEINGCO","B-737-8H4",
"N8582Z",175,"THEBOEINGCO","B-737-8H4",
"N8583Z",175,"THEBOEINGCO","B-737-8H4",
"N8584Z",175,"THEBOEINGCO","B-737-8H4",
"N858AE",44,"Embraer","EMB-140",
"N858DZ",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N858FD",0,"BOEING","777-FS2",
"N858FE",0,"CESSNA","C-208B",
"N858GT",0,"BOEING","B747-800",
"N858NN",172,"Boeing","B737-823",
"N858NW",234,"AirbusIndustries","A330-223-PSGR",
"N858RW",70,"Embraer","ERJ-170-100SE",
"N859DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N859FD",0,"BOEING","777-FS2",
"N859FE",0,"CESSNA","C-208B",
"N859GT",0,"BOEING","B747-800",
"N859NN",172,"Boeing","B737-823",
"N859NW",234,"AirbusIndustries","A330-223-PSGR",
"N859RW",70,"Embraer","ERJ-170-100SE",
"N8600F",175,"THEBOEINGCO","B-737-8H4",
"N8601C",175,"THEBOEINGCO","B-737-8H4",
"N8602F",175,"THEBOEINGCO","B-737-8H4",
"N8603F",175,"THEBOEINGCO","B-737-8H4",
"N8604K",175,"THEBOEINGCO","B-737-8H4",
"N8605E",175,"THEBOEINGCO","B-737-8H4",
"N8606C",175,"THEBOEINGCO","B-737-8H4",
"N8607M",175,"THEBOEINGCO","B-737-8H4",
"N8608N",175,"THEBOEINGCO","B-737-8H4",
"N8609A",175,"THEBOEINGCO","B-737-8H4",
"N860AS",50,"Bombardier","CRJ-200/440",
"N860AS",50,"Bombardier","CRJ200-2B19",
"N860DA",291,"BOEINGCOMPANY","777-232ER-PSGR",
"N860DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N860FD",0,"Boeing","777F",
"N860NN",172,"Boeing","B737-823",
"N860NW",234,"AirbusIndustries","A330-223-PSGR",
"N860RW",69,"Embraer","ERJ-170-100SE",
"N8610A",175,"THEBOEINGCO","B-737-8H4",
"N8611A",50,"BOMBARDIER","CRJ-200-PSGR",
"N8611F",175,"THEBOEINGCO","B-737-8H4",
"N8612K",175,"THEBOEINGCO","B-737-8H4",
"N8613K",175,"THEBOEINGCO","B-737-8H4",
"N8614M",175,"THEBOEINGCO","B-737-8H4",
"N8615E",175,"THEBOEINGCO","B-737-8H4",
"N8616C",175,"THEBOEINGCO","B-737-8H4",
"N8617E",175,"THEBOEINGCO","B-737-8H4",
"N8618N",175,"THEBOEINGCO","B-737-8H4",
"N8619F",175,"THEBOEINGCO","B-737-8H4",
"N861AS",50,"Bombardier","CRJ200-2B19",
"N861DA",291,"BOEINGCOMPANY","777-232ER-PSGR",
"N861DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N861FD",0,"BOEING","777-FS2",
"N861FE",0,"CESSNA","C-208B",
"N861NN",172,"Boeing","B737-823",
"N861NW",234,"AirbusIndustries","A330-223-PSGR",
"N861RW",70,"Embraer","ERJ-170-100SE",
"N8620H",175,"THEBOEINGCO","B-737-8H4",
"N8621A",175,"THEBOEINGCO","B-737-8H4",
"N8622A",175,"THEBOEINGCO","B-737-8H4",
"N8623F",175,"THEBOEINGCO","B-737-8H4",
"N8624J",175,"THEBOEINGCO","B-737-8H4",
"N8625A",175,"THEBOEINGCO","B-737-8H4",
"N8626B",175,"THEBOEINGCO","B-737-8H4",
"N8627B",175,"THEBOEINGCO","B-737-8H4",
"N8628A",175,"THEBOEINGCO","B-737-8H4",
"N8629A",175,"THEBOEINGCO","B-737-8H4",
"N862AS",50,"Bombardier","CRJ-200/440",
"N862AS",50,"Bombardier","CRJ200-2B19",
"N862DA",291,"BOEINGCOMPANY","777-232ER-PSGR",
"N862DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N862FD",0,"BOEING","777-FS2",
"N862FE",0,"CESSNA","C-208B",
"N862NN",172,"Boeing","B737-823",
"N862RW",70,"Embraer","ERJ-170-100SE",
"N86309",76,"Embraer","EMB-175-PSGR",
"N8630B",175,"THEBOEINGCO","B-737-8H4",
"N86311",76,"Embraer","EMB-175-PSGR",
"N86312",76,"Embraer","EMB-175-PSGR",
"N86316",76,"Embraer","EMB-175-PSGR",
"N8631A",175,"THEBOEINGCO","B-737-8H4",
"N86322",76,"Embraer","EMB-175-PSGR",
"N86324",76,"Embraer","EMB-175-PSGR",
"N8632A",175,"THEBOEINGCO","B-737-8H4",
"N86334",76,"Embraer","EMB-175-PSGR",
"N86336",76,"Embraer","EMB-175-PSGR",
"N8633A",175,"THEBOEINGCO","B-737-8H4",
"N86344",76,"Embraer","EMB-175-PSGR",
"N86347",76,"Embraer","EMB-175-PSGR",
"N8634A",175,"THEBOEINGCO","B-737-8H4",
"N86350",76,"Embraer","EMB-175-PSGR",
"N8635F",175,"THEBOEINGCO","B-737-8H4",
"N8637A",175,"THEBOEINGCO","B-737-8H4",
"N8638A",175,"THEBOEINGCO","B-737-8H4",
"N8639B",175,"THEBOEINGCO","B-737-8H4",
"N863AS",50,"Bombardier","CRJ200-2B19",
"N863DA",291,"BOEINGCOMPANY","777-232ER-PSGR",
"N863DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N863FD",0,"BOEING","777-FS2",
"N863FE",0,"CESSNA","C-208B",
"N863NN",172,"Boeing","B737-823",
"N863RW",70,"Embraer","ERJ-170-100SE",
"N8640D",175,"THEBOEINGCO","B-737-8H4",
"N8641B",175,"THEBOEINGCO","B-737-8H4",
"N8642E",175,"THEBOEINGCO","B-737-8H4",
"N8643A",175,"THEBOEINGCO","B-737-8H4",
"N8644C",175,"THEBOEINGCO","B-737-8H4",
"N8645A",175,"THEBOEINGCO","B-737-8H4",
"N8646B",175,"THEBOEINGCO","B-737-8H4",
"N8647A",175,"THEBOEINGCO","B-737-8H4",
"N8648A",175,"THEBOEINGCO","B-737-8H4",
"N8649A",175,"THEBOEINGCO","B-737-8H4",
"N864AS",50,"Bombardier","CRJ200-2B19",
"N864DA",291,"BOEINGCOMPANY","777-232ER-PSGR",
"N864DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N864FD",0,"BOEING","777-FS2",
"N864FE",0,"CESSNA","C-208B",
"N864NN",172,"Boeing","B737-823",
"N864RW",70,"Embraer","ERJ-170-100SE",
"N8650F",175,"THEBOEINGCO","B-737-8H4",
"N8651A",175,"THEBOEINGCO","B-737-8H4",
"N8652B",175,"THEBOEINGCO","B-737-8H4",
"N86534",154,"BoeingCo","B737-800PAX",
"N8653A",175,"THEBOEINGCO","B-737-8H4",
"N8654B",175,"THEBOEINGCO","B-737-8H4",
"N8655D",175,"THEBOEINGCO","B-737-8H4",
"N8656B",175,"THEBOEINGCO","B-737-8H4",
"N8657B",175,"THEBOEINGCO","B-737-8H4",
"N8658A",175,"THEBOEINGCO","B-737-8H4",
"N8659D",175,"THEBOEINGCO","B-737-8H4",
"N865DA",291,"BOEINGCOMPANY","777-232ER-PSGR",
"N865DN",180,"BOEINGCOMPANY","737-932ER-PSGR",
"N865FD",0,"Boeing","777F",
"N865FE",0,"CESSNA","C-208B",
"N865NN",172,"Boeing","B737-823",
